T,P,m,s1_Water,s1_Ethanol,s1_Acetone
300.0,101325.0,300.0,0.4,0.4,0.2
300.0,101325.0,350.0,0.4,0.4,0.2
300.0,101325.0,400.0,0.4,0.4,0.2
300.0,151987.5,300.0,0.4,0.4,0.2
300.0,151987.5,350.0,0.4,0.4,0.2
300.0,151987.5,400.0,0.4,0.4,0.2
300.0,202650.0,300.0,0.4,0.4,0.2
300.0,202650.0,350.0,0.4,0.4,0.2
300.0,202650.0,400.0,0.4,0.4,0.2
325.0,101325.0,300.0,0.4,0.4,0.2
325.0,101325.0,350.0,0.4,0.4,0.2
325.0,101325.0,400.0,0.4,0.4,0.2
325.0,151987.5,300.0,0.4,0.4,0.2
325.0,151987.5,350.0,0.4,0.4,0.2
325.0,151987.5,400.0,0.4,0.4,0.2
325.0,202650.0,300.0,0.4,0.4,0.2
325.0,202650.0,350.0,0.4,0.4,0.2
325.0,202650.0,400.0,0.4,0.4,0.2
350.0,101325.0,300.0,0.4,0.4,0.2
350.0,101325.0,350.0,0.4,0.4,0.2
350.0,101325.0,400.0,0.4,0.4,0.2
350.0,151987.5,300.0,0.4,0.4,0.2
350.0,151987.5,350.0,0.4,0.4,0.2
350.0,151987.5,400.0,0.4,0.4,0.2
350.0,202650.0,300.0,0.4,0.4,0.2
350.0,202650.0,350.0,0.4,0.4,0.2
350.0,202650.0,400.0,0.4,0.4,0.2
